elapsedtime,ECG
seconds,mv
4.424,0.927
4.428,0.557
4.432,0.275
4.436,0.113
4.44,0.005
4.444,-0.035
4.448,-0.075
4.452,-0.105
4.456,-0.122
4.46,-0.125
4.464,-0.165
4.468,-0.172
4.472,-0.175
4.476,-0.193
4.48,-0.195
4.484,-0.193
4.488,-0.215
4.492,-0.205
4.496,-0.195
4.5,-0.212
4.504,-0.205
4.508,-0.203
4.512,-0.198
4.516,-0.22
4.52,-0.233
4.524,-0.24
4.528,-0.235
4.532,-0.21
4.536,-0.205
4.54,-0.182
4.544,-0.193
4.548,-0.195
4.552,-0.203
4.556,-0.235
4.56,-0.225
4.564,-0.212
4.568,-0.205
4.572,-0.207
4.576,-0.203
4.58,-0.168
4.584,-0.172
4.588,-0.155
4.592,-0.16
4.596,-0.133
4.6,-0.138
4.604,-0.13
4.608,-0.135
4.612,-0.125
4.616,-0.095
4.62,-0.077
4.624,-0.085
4.628,-0.105
4.632,-0.075
4.636,-0.072
4.64,-0.07
4.644,-0.068
4.648,-0.045
4.652,-0.035
4.656,0.005
4.66,-0.003
4.664,0.018
4.668,0.007
4.672,0.018
4.676,0.048
4.68,0.055
4.684,0.045
4.688,0.028
4.692,0.048
4.696,0.02
4.7,-0.003
4.704,-0.003
4.708,-0.02
4.712,-0.045
4.716,-0.033
4.72,-0.035
4.724,-0.03
4.728,-0.037
4.732,-0.04
4.736,-0.043
4.74,-0.045
4.744,-0.06
4.748,-0.06
4.752,-0.075
4.756,-0.075
4.76,-0.068
4.764,-0.077
4.768,-0.055
4.772,-0.072
4.776,-0.075
4.78,-0.1
4.784,-0.09
4.788,-0.075
4.792,-0.077
4.796,-0.043
4.8,-0.045
4.804,-0.055
4.808,-0.035
4.812,-0.05
4.816,-0.068
4.82,-0.072
4.824,-0.062
4.828,-0.072
4.832,-0.062
4.836,-0.072
4.84,-0.065
4.844,-0.052
4.848,-0.068
4.852,-0.068
4.856,-0.08
4.86,-0.072
4.864,-0.08
4.868,-0.08
4.872,-0.075
4.876,-0.095
4.88,-0.09
4.884,-0.11
4.888,-0.087
4.892,-0.085
4.896,-0.09
4.9,-0.087
4.904,-0.085
4.908,-0.09
4.912,-0.095
4.916,-0.08
4.92,-0.08
4.924,-0.095
4.928,-0.11
4.932,-0.085
4.936,-0.077
4.94,-0.072
4.944,-0.085
4.948,-0.09
4.952,-0.075
4.956,-0.08
4.96,-0.1
4.964,-0.105
4.968,-0.102
4.972,-0.09
4.976,-0.09
4.98,-0.1
4.984,-0.077
4.988,-0.098
4.992,-0.125
4.996,-0.125
5,-0.09
5.004,-0.075
5.008,-0.085
5.012,-0.102
5.016,-0.107
5.02,-0.085
5.024,-0.095
5.028,-0.122
5.032,-0.115
5.036,-0.107
5.04,-0.105
5.044,-0.095
5.048,-0.075
5.052,-0.072
5.056,-0.075
5.06,-0.052
5.064,-0.035
5.068,-0.037
5.072,-0.035
5.076,-0.01
5.08,0.007
5.084,0.065
5.088,0.11
5.092,0.115
5.096,0.098
5.1,0.08
5.104,0.095
5.108,0.087
5.112,0.087
5.116,0.08
5.12,0.095
5.124,0.06
5.128,0.025
5.132,-0.005
5.136,-0.04
5.14,-0.08
5.144,-0.09
5.148,-0.128
5.152,-0.14
